destination,vol,people
Mexico,1,10817810
USA,0.980888368,10611064
Russia,1,10302948
Ukraine,0.332207151,3422713
Kazakhstan,0.205997254,2122379
Germany,0.086317431,889324
Uzbekistan,0.095183825,980674
Belarus,0.067766235,698192
USA,0.036033764,371254
Tajikistan,0.023168029,238699
Estonia,0.016749672,172571
Latvia,0.01958158,201748
Israel,0.013183314,135827
Kyrgyzstan,0.016594183,170969
India,1,9588533
United Arab Emirates,0.134222096,1286993
USA,0.14502792,1390605
Saudi Arabia,0.126875404,1216549
Pakistan,0.208458791,1998814
Oman,0.038943496,373411
Kuwait,0.050677304,485921
United Kingdom,0.057165158,548130
Canada,0.044308655,424855
Qatar,0.020170343,193404
Australia,0.015532616,148935
Nepal,0.053673487,514650
Bahrain,0.016382172,157081
Malaysia,0.011065092,106098
China,1,7337211
United States of America,0.219109686,1607654
Republic of Korea,0.033148427,243217
Japan,0.088333292,648120
Canada,0.069371591,508994
Australia,0.031014646,227561
Singapore,0.040839905,299651
Italy,0.018758218,137633
United Kingdom,0.020034043,146994
Bangladesh,0.019817476,145405
Ukraine,1,5566382
Russia,0.591754033,3293929
USA,0.053673284,298766
Kazakhstan,0.05084775,283038
Germany,0.033433386,186103
Poland,0.0473329,263473
Italy,0.021190964,117957
Belarus,0.041493918,230971
Israel,0.026363444,146749
Uzbekistan,0.02388679,132963
